Sited,Leased,District,Project #,School,Boro,Forecast Capacity,D75 Capacity,Design Start,Construction Start,Actual Est. Comp,Total Est. Comp,Previous Appropriations,Funding Req'D FY 20-24,Needed to Complete
NO,NO,2,DSF0000911799,PROJECT #2,MANHATTAN,865,N/A,Mar-23,Jul-24,Jun-27,118.46,0,9.49,108.96
YES,NO,2,DSF0000424314,P.S./I.S. @ WESTERN RAILYARDS,MANHATTAN,686,0,Apr-24,Jul-25,Sep-28,106.48,0.4,8.31,97.77
YES,NO,2,DSF0000798170,P.S. @ 28-42 TRINITY PLACE,MANHATTAN,420,0,May-15,Oct-20,Sep-22,185.18,96.77,88.41,0
YES,NO,2,DSF0000798236,P.S. @ 2 HUDSON SQUARE,MANHATTAN,433,0,Mar-24,Jun-25,Sep-27,71.3,0.38,5.29,65.63
NO,NO,2,DSF0001034274,PROJECT #1,MANHATTAN,312,0,Dec-23,Apr-25,Jun-28,46.8,0,3.63,43.17
YES,NO,7,DSF0000889308,P.S. @ 639 ST ANN'S AVENUE,BRONX,547,96,Apr-19,Jun-21,Jun-24,97.34,0.49,96.85,0
YES,NO,8,DSF0000911814,P.S. 138 ADDITION,BRONX,500,0,Sep-19,Jun-21,Jun-24,83.19,0.07,83.12,0
YES,NO,9,DSF0000889040,P.S. @ 1302 EDWARD L GRANT HIGHWAY,BRONX,433,0,Aug-19,Sep-21,Sep-24,97.76,16.76,77.65,3.36
YES,NO,9,DSF0000889664,P.S. @ 2075 WEBSTER AVENUE,BRONX,352,0,Jun-19,Dec-21,Sep-24,60.82,0.05,58.21,2.56
YES,YES,10,DSF0000911830,JONAS BRONCK ACADEMY,BRONX,380,0,Mar-19,Jun-21,Aug-23,19.56,0.04,19.52,0
YES,NO,10,DSF0000889039,P.S. @ 2355 MORRIS AVENUE,BRONX,451,0,Sep-19,Sep-21,Sep-24,84.46,0.09,80.75,3.63
YES,NO,10,DSF0000867118,P.S. @ 160 VAN CORTLANDT PARK SOUTH,BRONX,696,96,Jun-22,Sep-23,Jun-27,108.34,0.01,103.83,4.5
NO,NO,10,DSF0001034280,PROJECT #3,BRONX,451,N/A,Mar-23,Jun-24,Sep-26,64.81,0,57.78,7.03
YES,NO,11,DSF0000889274,P.S. 87 ADDITION,BRONX,397,0,Apr-19,Jun-21,Jun-24,85.74,0.27,85.48,0
YES,NO,11,DSF0000911832,P.S. 105 ADDITION,BRONX,344,120,Nov-20,Aug-22,Aug-25,74.49,0,67.95,6.54
YES,NO,11,DSF0000911831,P.S. 108 ADDITION,BRONX,555,0,Jul-19,Jun-21,Jun-24,90.05,0.08,89.97,0
NO,NO,11,DSF0000958389,PROJECT #1,BRONX,451,N/A,Apr-23,Jul-24,Mar-27,67.65,0,5.35,62.3
NO,NO,11,DSF0001034281,PROJECT #4,BRONX,451,N/A,Apr-23,Jun-24,Mar-27,69.29,0,61.78,7.51
YES,NO,12,DSF0000798238,P.S. 195/ 196 ADDITION,BRONX,596,0,Apr-19,Jun-21,Sep-24,109.85,0.51,104.59,4.74
YES,NO,12,DSF0000798179,P.S. @ 1570 BOONE AVENUE,BRONX,433,0,Dec-17,Nov-19,Jun-22,80.25,2.6,77.64,0
YES,NO,13,DSF0000798239,I.S. 653,BROOKLYN,806,0,May-15,Jul-22,Sep-25,170.72,91.92,67,11.79
YES,YES,13,DSF0000843660,P.S. @ 424 ALBEE SQUARE WEST,BROOKLYN,312,0,Jul-17,Nov-21,Sep-23,32.57,1.36,31.21,0
NO,YES,14,DSF0000687094,PROJECT #1,BROOKLYN,582,N/A,Jun-23,Sep-24,Jun-27,30.59,0.11,2.39,28.09
NO,NO,14,DSF0000798240,PROJECT #2,BROOKLYN,338,N/A,Apr-23,Jun-24,Sep-26,63.52,0,56.63,6.89
YES,NO,15,DSF0000890667,I.S. @ 4002 FORT HAMILTON PARKWAY,BROOKLYN,487,72,Jun-22,Jul-23,Sep-26,71.44,14.37,51.09,5.98
YES,YES,15,DSF0001008660,EDUCATIONAL CAMPUS @ 500 19TH STREET,BROOKLYN,96,96,Oct-22,Jan-24,Jul-26,14.46,0,12.9,1.56
YES,YES,15,DSF0000866091,P.S. @ 763 PRESIDENT STREET,BROOKLYN,451,0,Mar-21,Jun-22,Sep-24,33.26,0.08,31.75,1.44
YES,NO,15,DSF0000888773,P.S./H.S. @ 489 STATE STREET,BROOKLYN,367,0,Mar-18,Sep-21,Sep-24,2.65,0.09,2.52,0.04
YES,NO,15,DSF0000843826,I.S. @ 21-31 & 35 DELAVAN STREET,BROOKLYN,557,96,May-21,Jun-23,Apr-27,155.68,1.29,142.37,12.03
YES,NO,20,DSF0000843829,P.S. @ 6740 3RD AVENUE,BROOKLYN,307,0,Feb-21,Jul-22,Sep-24,92.73,0.11,91.37,1.24
YES,NO,20,DSF0000798187,I.S. @ 6315 14TH AVENUE,BROOKLYN,461,0,Sep-22,Dec-23,Aug-27,74.13,10.05,57.22,6.86
NO,NO,20,DSF0001034282,PROJECT #2,BROOKLYN,359,N/A,Apr-24,Jul-25,Mar-28,72.42,0,5.64,66.78
NO,YES,20,DSF0001008552,PROJECT #3,BROOKLYN,744,N/A,Apr-23,Jun-24,Sep-26,45.71,0.02,41.95,3.74
NO,NO,20,DSF0000798191,PROJECT #4,BROOKLYN,451,N/A,Apr-23,Jun-24,Mar-27,67.65,0.11,60.23,7.31
NO,NO,20,DSF0000911838,PROJECT #9,BROOKLYN,865,N/A,Apr-23,Jul-24,Aug-27,117.72,0,9.27,108.44
YES,NO,20,DSF0000798188,I.S. @ 650 86TH STREET,BROOKLYN,475,72,Jan-20,Jun-21,Sep-24,114.64,26.58,84.8,3.26
YES,YES,20,DSF0001034200,D75 SCHOOL @ 72ND STREET,BROOKLYN,132,132,Jul-21,Sep-22,Sep-24,30.92,0,29.57,1.35
YES,NO,20,DSF0000845622,P.S. @ 6312 13TH AVENUE,BROOKLYN,547,96,Mar-20,Sep-21,Sep-24,113.68,17.91,91.62,4.14
NO,YES,21,DSF0000911842,PROJECT #3,BROOKLYN,451,N/A,Mar-24,Jun-25,Jun-27,28.1,0,2.2,25.9
YES,NO,21,DSF0000911840,P.S. 253 ADDITION,BROOKLYN,391,0,Nov-19,Jun-21,Jun-24,81.94,0.07,81.87,0
YES,NO,21,DSF0001034275,JOHN DEWEY ANNEX,BROOKLYN,553,0,Jan-22,Apr-23,Aug-26,83.59,0,75.29,8.3
YES,YES,21,DSF0000911868,EDUCATIONAL CAMPUS @ 2202 60TH STREET,BROOKLYN,640,0,May-21,Aug-22,Sep-25,30.91,0,29.79,1.12
YES,NO,22,DSF0000911846,P.S. 206 ADDITION,BROOKLYN,517,0,Mar-22,Jun-23,Aug-26,86.11,0,77.38,8.73
NO,NO,22,DSF0001034897,PROJECT #2,BROOKLYN,348,N/A,Mar-23,Jun-24,Aug-26,63.08,0,56.24,6.84
NO,NO,24,DSF0000843831,PROJECT #1,QUEENS,865,N/A,Jun-23,Sep-24,Sep-27,119.14,0.04,10.36,108.74
YES,NO,24,DSF0000890641,P.S. @ 69-02 QUEENS BOULEVARD,QUEENS,451,0,Jan-19,Jul-23,Jun-26,101.79,0.29,96.41,5.09
YES,NO,25,DSF0000911835,P.S. 32 ADDITION,QUEENS,346,0,Sep-19,Jun-21,Jun-24,77.18,0.02,77.15,0
YES,NO,25,DSF0000798201,P.S. 169 ADDITION,QUEENS,627,0,Sep-18,Mar-20,Aug-24,103.94,7.87,92.63,3.44
NO,NO,25,DSF0000911834,PROJECT #2,QUEENS,865,N/A,Apr-23,Jul-24,Sep-27,128.12,0,10.25,117.88
NO,NO,25,DSF0000911839,PROJECT #4,QUEENS,451,N/A,Apr-23,Jun-24,Jun-27,72.75,0,64.85,7.9
NO,NO,25,DSF0000914321,PROJECT #8,QUEENS,600,N/A,Apr-24,Jul-25,Jun-28,94.45,0,7.39,87.06
YES,NO,25,DSF0000911866,P.S. @ 23-50 WATERS EDGE DRIVE,QUEENS,547,96,Mar-22,Jun-23,Sep-26,75,0.02,72.63,2.35
YES,NO,26,DSF0000911853,P.S. 26 ADDITION,QUEENS,399,24,Oct-19,Jul-22,Jun-25,89.66,0.03,82.2,7.43
YES,NO,26,DSF0000889663,P.S. 41 ADDITION,QUEENS,473,36,Feb-19,Jun-21,Sep-24,74.02,0.46,70.49,3.07
YES,NO,26,DSF0000798204,P.S. 46 ADDITION,QUEENS,435,0,Sep-18,Mar-20,Jun-23,71.39,1.39,69.99,0
YES,NO,26,DSF0000914322,J.H.S. 216 ADDITION,QUEENS,463,0,Jan-22,Apr-23,Sep-26,80.91,0,72.69,8.22
NO,NO,26,DSF0000911855,PROJECT #1,QUEENS,600,N/A,Apr-24,Jul-25,Jul-28,99.31,0,7.74,91.57
YES,NO,27,DSF0001034479,P.S. 223,QUEENS,120,120,Jan-22,Dec-22,Sep-23,4.33,0,4.33,0
YES,YES,27,DSF0000889273,P.S. @ 101-11 104TH STREET,QUEENS,229,0,Mar-22,Jun-23,Sep-25,12.59,0.21,11.41,0.97
YES,YES,27,DSF0000911857,P.S. @ 140 BEACH 112 STREET,QUEENS,463,0,Mar-22,Jun-22,Sep-23,27.66,0.02,27.64,0
NO,NO,27,DSF0000798206,PROJECT #2,QUEENS,822,N/A,Apr-23,Jun-24,Feb-27,123.3,0.13,109.86,13.32
YES,NO,28,DSF0000911859,P.S. 160 ADDITION,QUEENS,354,0,Jan-21,Jun-22,Aug-25,78.41,0,72.28,6.13
YES,NO,28,DSF0000911860,P.S. 174 ADDITION,QUEENS,403,0,Nov-20,Jun-22,Jun-24,58.78,0.01,58.77,0
YES,YES,28,DSF0000911862,PS 182 ANNEX,QUEENS,100,0,Jan-22,Jan-23,Mar-25,10,0,9.13,0.87
NO,YES,28,DSF0000888931,PROJECT #1,QUEENS,600,N/A,Jan-24,Apr-25,Aug-27,30,0,2.35,27.65
NO,NO,28,DSF0001034490,PROJECT #3,QUEENS,351,N/A,Mar-23,Jun-24,Sep-26,52.66,0,46.96,5.69
YES,NO,29,DSF0001034477,P.S. 95 ADDITION,QUEENS,229,0,Apr-22,Jun-23,Jun-26,53.67,0.04,48.77,4.86
YES,NO,29,DSF0000911863,P.S. 116 ADDITION,QUEENS,325,0,Apr-22,Jun-23,Jun-26,98.71,0.13,89.64,8.94
YES,NO,30,DSF0000843659,P.S. @ PARCEL C,QUEENS,547,96,Dec-16,Jul-23,Sep-26,104.09,3.67,89.07,11.34
YES,NO,30,DSF0000911869,P.S. 85 ANNEX,QUEENS,451,0,Jun-19,Sep-21,Sep-24,80.78,0.1,77.4,3.28
YES,NO,30,DSF0000889670,P.S. @ 23-10 43RD AVENUE,QUEENS,547,96,Mar-23,Jun-24,Jun-27,64.52,0.2,57.8,6.52
YES,NO,30,DSF0000843827,I.S. @ 44-59 45 AVENUE,QUEENS,599,0,Mar-23,Jun-24,Jun-27,92.38,0.06,82.27,10.05
NO,NO,30,DSF0000798212,PROJECT #3,QUEENS,947,N/A,Jun-23,Sep-24,Jun-28,155.65,0.07,13.19,142.39
YES,NO,31,DSF0000889303,P.S. 5 ADDITION,STATEN ISLAND,290,0,Jan-20,Jun-22,Jun-25,78.85,0.09,74.85,3.91
YES,NO,31,DSF0001034481,P.S. 57,STATEN ISLAND,96,96,Feb-22,Jan-23,Sep-23,3.7,0,3.7,0
YES,YES,31,DSF0000911854,FOREST AVENUE COMMUNITY EDUCATIONAL COMPLEX,STATEN ISLAND,46,0,Jul-19,Jul-21,Jul-22,3.22,0.04,3.18,0
YES,NO,31,DSF0000889060,P.S. @ 24 SHELLEY AVENUE,STATEN ISLAND,547,96,Mar-21,Jul-22,Sep-25,96.43,0.11,88.89,7.43
YES,NO,31,DSF0000911852,P.S. 13 ANNEX,STATEN ISLAND,283,0,Mar-23,Jun-24,Jun-27,69.88,0.06,63.24,6.58
NO,NO,31,DSF0000911848,PROJECT #3,STATEN ISLAND,451,N/A,Mar-23,Jun-24,Mar-27,71.3,0,63.56,7.74
NO,NO,31,DSF0000911850,PROJECT #2,STATEN ISLAND,619,N/A,Mar-23,Jul-24,Mar-27,113.48,0,9.01,104.46
NO,NO,31,DSF0000961149,PROJECT #6,STATEN ISLAND,600,N/A,Mar-23,Jun-24,Sep-27,110.8,0,98.69,12.11
NO,NO,31,DSF0000798213,PROJECT #7,STATEN ISLAND,451,N/A,Mar-24,Jun-25,Mar-27,71.38,0.17,5.54,65.67
NO,NO,31,DSF0000911847,PROJECT #8,STATEN ISLAND,451,N/A,Mar-23,Jun-24,Mar-27,64.02,0,57.08,6.94
YES,NO,78K,DSF0001034482,ACORN COMMUNITY HS,BROOKLYN,192,192,Feb-22,Oct-22,Jul-24,5.38,0,5.38,0
YES,NO,78Q,DSF0000866092,H.S. @ 53-16 NORTHERN BOULEVARD,QUEENS,3066,96,Jun-18,Dec-21,Sep-25,302.67,41.85,242.03,18.79
YES,NO,78Q,DSF0000911858,H.S. @ 165-18 HILLSIDE AVENUE,QUEENS,876,96,Apr-21,Jun-22,Sep-26,184.42,0,168.56,15.86
NO,NO,78Q,DSF0000911856,PROJECT #1,QUEENS,584,N/A,Nov-22,Mar-24,Sep-27,108.96,0,101.34,7.61
NO,NO,78R,DSF0001034283,PROJECT #4,STATEN ISLAND,1155,N/A,Apr-23,Jul-24,Jul-28,173.95,0,14.68,159.27
