School_Year,OPT Code,Total Field Trips,Total Vehicles,Total Passengers,Unique Destinations
2022-2023,21893,7,10,177,6
2022-2023,09014,44,65,2142,6
2022-2023,05200,6,10,337,5
2022-2023,02418,6,7,225,5
2022-2023,16457,3,3,63,3
2022-2023,17532,6,14,449,6
2022-2023,10306,197,286,8013,11
2022-2023,26046,20,39,1128,12
2022-2023,25501,7,12,320,7
2022-2023,31042,39,126,4624,18
2022-2023,31092,10,11,181,6
2022-2023,04102,1,2,19,1
2022-2023,30476,33,33,165,5
2022-2023,30171,8,16,487,6
2022-2023,11097,10,26,943,6
2022-2023,25237,21,107,4178,6
2022-2023,03475,10,18,477,2
2022-2023,31022,45,77,2501,16
2022-2023,22599,1,1,28,1
2022-2023,08048,1,7,240,1
2022-2023,20816,11,30,1123,10
2022-2023,22255,10,41,1647,6
2022-2023,31035,32,53,1590,14
2022-2023,21565,9,13,333,9
2022-2023,15014,2,7,275,2
2022-2023,26031,34,62,2089,17
2022-2023,21772,1,4,150,1
2022-2023,19510,3,3,73,3
2022-2023,10045,9,16,492,5
2022-2023,29195,14,21,682,8
2022-2023,10280,28,70,2336,19
2022-2023,03862,2,4,144,1
2022-2023,20192,20,29,755,16
2022-2023,31902,52,71,1801,18
2022-2023,27515,22,40,1367,16
2022-2023,31547,22,28,815,17
2022-2023,31048,31,55,1338,16
2022-2023,02818,6,8,281,5
2022-2023,10533,21,31,1069,16
2022-2023,22278,14,17,518,11
2022-2023,15684,7,10,328,7
2022-2023,22234,18,35,1259,12
2022-2023,18588,6,12,390,6
2022-2023,17353,26,33,967,25
2022-2023,08001,12,22,763,9
2022-2023,21101,24,58,2002,10
2022-2023,10007,22,30,1005,11
2022-2023,08730,1,1,36,1
2022-2023,31085,11,13,301,6
2022-2023,03809,8,13,378,7
2022-2023,26173,65,79,2465,13
2022-2023,30901,7,8,132,7
2022-2023,24811,7,11,372,6
2022-2023,29743,3,4,138,3
2022-2023,24418,5,6,227,5
2022-2023,17711,1,2,53,1
2022-2023,02177,3,6,122,3
2022-2023,29118,5,8,276,4
2022-2023,04486,2,4,82,1
2022-2023,14761,1,1,11,1
2022-2023,10497,3,7,200,2
2022-2023,20446,13,18,227,8
2022-2023,11103,39,64,1777,13
2022-2023,30050,3,9,230,3
2022-2023,30011,36,81,2932,23
2022-2023,06009,8,33,1154,5
2022-2023,31053,37,59,1744,18
2022-2023,10553,12,19,593,11
2022-2023,24467,1,2,43,1
2022-2023,19502,3,3,110,3
2022-2023,25185,17,50,1844,8
2022-2023,31033,4,10,329,4
2022-2023,08711,3,5,154,3
2022-2023,26001,18,33,1216,14
2022-2023,10091,12,15,422,2
2022-2023,28217,37,98,3566,25
2022-2023,18366,4,9,311,4
2022-2023,17460,27,30,206,2
2022-2023,14435,40,41,813,9
2022-2023,10444,1,2,39,1
2022-2023,28014,4,4,101,4
2022-2023,09490,2,4,151,2
2022-2023,13569,1,1,17,1
2022-2023,05755,1,2,63,1
2022-2023,02174,14,24,851,5
2022-2023,18135,9,16,542,7
2022-2023,06189,35,49,856,8
2022-2023,11255,1,3,94,1
2022-2023,02537,87,87,174,1
2022-2023,29005,1,1,13,1
2022-2023,13256,32,38,1111,11
2022-2023,03711,1,1,16,1
2022-2023,02870,4,8,229,3
2022-2023,20204,14,27,815,9
2022-2023,06103,12,36,1267,5
2022-2023,17010,5,19,688,5
2022-2023,27011,5,5,95,5
2022-2023,11355,5,16,587,3
2022-2023,06373,9,17,690,4
2022-2023,21725,6,12,379,4
2022-2023,10244,5,10,336,3
2022-2023,27108,25,42,1423,7
2022-2023,25240,1,1,33,1
2022-2023,20048,9,28,1030,7
2022-2023,19907,4,12,370,4
2022-2023,32562,2,4,155,2
2022-2023,07794,24,25,519,10
2022-2023,08140,84,187,3883,10
2022-2023,10032,5,9,300,4
2022-2023,03084,32,56,1640,17
2022-2023,02871,4,5,155,4
2022-2023,05148,7,12,297,5
2022-2023,24110,126,228,7112,21
2022-2023,32793,1,3,98,1
2022-2023,06173,20,44,1483,11
2022-2023,21022,2,4,125,2
2022-2023,20310,3,5,129,2
2022-2023,10599,6,18,582,3
2022-2023,09639,3,6,195,3
2022-2023,22634,6,39,1490,6
2022-2023,31060,30,65,2232,16
2022-2023,03450,2,2,44,2
2022-2023,13492,17,34,1143,12
2022-2023,20728,3,13,528,2
2022-2023,04009,1,3,121,1
2022-2023,06311,1,2,50,1
2022-2023,15644,17,27,869,10
2022-2023,16243,11,22,665,8
2022-2023,15758,1,3,104,1
2022-2023,22014,56,80,1847,17
2022-2023,24750,7,7,207,6
2022-2023,10368,2,3,89,2
2022-2023,31719,34,34,881,15
2022-2023,31737,5,8,203,5
2022-2023,08123,24,56,2075,12
2022-2023,12447,14,25,864,10
2022-2023,18759,1,4,142,1
2022-2023,28770,5,13,488,5
2022-2023,02514,5,9,275,5
2022-2023,15478,24,46,1611,12
2022-2023,07638,2,5,169,2
2022-2023,25129,33,47,1548,13
2022-2023,20410,6,7,161,6
2022-2023,27320,3,5,190,2
2022-2023,26464,9,17,456,6
2022-2023,18633,6,15,482,5
2022-2023,27202,15,37,1235,13
2022-2023,30289,17,26,704,17
2022-2023,03013,11,11,225,6
2022-2023,06115,4,5,108,3
2022-2023,31099,1483,1702,17686,35
2022-2023,14471,1,1,27,1
2022-2023,22007,4,6,187,3
2022-2023,14450,6,18,561,5
2022-2023,02646,2,10,387,2
2022-2023,31404,4,4,63,2
2022-2023,17138,7,27,954,6
2022-2023,07586,6,11,370,4
2022-2023,27226,15,50,1970,10
2022-2023,06008,4,7,193,3
2022-2023,21007,1,1,9,1
2022-2023,11083,64,151,5308,18
2022-2023,03180,8,9,246,4
2022-2023,31067,19,32,1042,12
2022-2023,11737,4,4,110,3
2022-2023,11844,10,10,357,7
2022-2023,21100,2,4,154,2
2022-2023,09818,2,2,51,2
2022-2023,09063,5,8,249,4
2022-2023,13707,3,3,108,1
2022-2023,29095,15,42,1580,10
2022-2023,13758,6,8,247,4
2022-2023,21099,34,74,2386,20
2022-2023,03408,4,4,47,1
2022-2023,14586,94,99,1888,11
2022-2023,07035,1,1,44,1
2022-2023,08002,1,1,24,1
2022-2023,26808,1,1,14,1
2022-2023,04481,6,10,289,4
2022-2023,28332,10,25,964,5
2022-2023,14031,20,27,829,9
2022-2023,22853,10,57,2258,7
2022-2023,04372,7,10,319,5
2022-2023,31032,22,34,1029,12
2022-2023,20884,2,2,61,2
2022-2023,07471,5,15,528,3
2022-2023,07296,2,2,39,1
2022-2023,18629,12,16,419,10
2022-2023,16025,4,10,282,3
2022-2023,11111,1,2,50,1
2022-2023,02566,61,91,791,1
2022-2023,10884,5,13,423,5
2022-2023,07389,1,2,87,1
2022-2023,12124,4,9,330,2
2022-2023,02921,2,2,80,1
2022-2023,30541,89,90,1139,4
2022-2023,27005,8,24,882,4
2022-2023,05517,3,4,122,3
2022-2023,13685,22,24,495,2
2022-2023,22726,30,41,1477,19
2022-2023,13351,3,7,161,3
2022-2023,27066,10,19,716,9
2022-2023,08013,10,29,768,7
2022-2023,04171,23,35,1093,8
2022-2023,14432,1,1,20,1
2022-2023,13307,4,9,251,2
2022-2023,18003,71,72,1076,6
2022-2023,29289,3,9,316,3
2022-2023,06685,2,5,118,2
2022-2023,09488,10,16,548,8
2022-2023,29248,2,7,308,2
2022-2023,07006,11,37,1245,11
2022-2023,04733,34,35,1392,4
2022-2023,28690,7,11,425,6
2022-2023,11538,9,17,508,7
2022-2023,07522,3,8,275,2
2022-2023,25189,13,42,1601,9
2022-2023,03709,2,2,26,2
2022-2023,31036,38,65,2021,23
2022-2023,22616,137,206,6171,25
2022-2023,09133,4,12,437,4
2022-2023,24010,12,23,497,10
2022-2023,23156,1,3,100,1
2022-2023,19938,3,5,131,1
2022-2023,30539,2,2,56,2
2022-2023,30408,5,9,293,2
2022-2023,13113,1,1,20,1
2022-2023,21806,10,37,1512,2
2022-2023,08464,92,92,276,1
2022-2023,24738,4,4,88,3
2022-2023,30300,24,39,1308,13
2022-2023,17828,34,124,4818,13
2022-2023,14719,4,9,303,3
2022-2023,02039,1,1,33,1
2022-2023,15750,20,39,1381,10
2022-2023,12214,7,19,756,4
2022-2023,28525,5,17,635,5
2022-2023,13008,13,13,376,4
2022-2023,31087,16,29,969,10
2022-2023,09611,1,2,58,1
2022-2023,15676,40,76,1446,4
2022-2023,14380,6,13,382,6
2022-2023,02966,2,6,224,2
2022-2023,24143,3,14,519,3
2022-2023,30753,4,4,140,4
2022-2023,09303,11,16,607,11
2022-2023,28140,3,6,220,3
2022-2023,11589,12,32,1242,10
2022-2023,01142,17,21,541,10
2022-2023,14059,53,54,1403,3
2022-2023,32411,31,44,958,8
2022-2023,11556,29,35,1175,19
2022-2023,19661,7,12,299,7
2022-2023,06211,1,3,110,1
2022-2023,27062,152,162,4458,31
2022-2023,10037,13,27,703,9
2022-2023,21003,1,1,10,1
2022-2023,12479,1,3,72,1
2022-2023,19460,1,1,16,1
2022-2023,22193,28,62,2156,18
2022-2023,31729,8,15,450,4
2022-2023,20712,2,5,188,2
2022-2023,08072,6,14,477,6
2022-2023,06528,1,1,28,1
2022-2023,02001,18,19,473,7
2022-2023,28099,2,2,37,2
2022-2023,09631,1,5,201,1
2022-2023,07221,3,8,286,1
2022-2023,23445,9,25,872,6
2022-2023,15681,4,8,242,1
2022-2023,06100,6,11,354,4
2022-2023,13616,5,5,185,5
2022-2023,24075,1,1,34,1
2022-2023,14182,7,22,720,6
2022-2023,15423,1,1,22,1
2022-2023,01034,4,5,143,3
2022-2023,24023,10,20,467,10
2022-2023,25431,156,158,3774,3
2022-2023,19029,11,11,272,2
2022-2023,25219,7,11,344,3
2022-2023,22381,9,22,771,6
2022-2023,14110,12,21,752,8
2022-2023,09699,5,12,347,4
2022-2023,29007,1,2,14,1
2022-2023,31009,28,50,1160,17
2022-2023,18608,3,17,650,2
2022-2023,09594,1,1,39,1
2022-2023,19346,19,36,1033,11
2022-2023,30523,7,8,276,5
2022-2023,14120,6,11,358,5
2022-2023,10750,19,54,1579,11
2022-2023,20180,36,114,4269,21
2022-2023,05682,4,14,493,3
2022-2023,01461,3,3,101,3
2022-2023,18673,5,6,153,5
2022-2023,08363,2,5,209,1
2022-2023,03864,12,16,471,7
2022-2023,30950,6,12,433,6
2022-2023,25252,37,61,1702,24
2022-2023,21024,1,2,66,1
2022-2023,04745,9,9,273,6
2022-2023,23697,6,13,418,4
2022-2023,16502,98,101,380,3
2022-2023,31073,3,9,363,1
2022-2023,07359,70,138,2631,18
2022-2023,26115,29,43,1448,9
2022-2023,02647,3,6,183,2
2022-2023,11169,40,74,2057,17
2022-2023,25463,1,1,22,1
2022-2023,31470,18,30,1002,16
2022-2023,21228,12,21,645,8
2022-2023,28220,18,35,1110,11
2022-2023,29295,5,11,374,4
2022-2023,31503,68,136,4482,37
2022-2023,10207,14,42,1488,10
2022-2023,13056,22,38,1033,17
2022-2023,03701,9,17,571,3
2022-2023,19012,4,18,690,2
2022-2023,31458,6,11,230,6
2022-2023,08901,2,2,57,2
2022-2023,24745,8,8,279,4
2022-2023,09565,1,2,67,1
2022-2023,02841,8,11,298,6
2022-2023,04410,38,42,1001,3
2022-2023,20013,2,3,69,2
2022-2023,29259,12,24,811,12
2022-2023,18637,3,9,280,3
2022-2023,31044,16,20,375,9
2022-2023,19680,9,19,692,6
2022-2023,21465,1,1,18,1
2022-2023,21736,3,9,168,3
2022-2023,11715,3,5,134,3
2022-2023,24535,4,4,125,3
2022-2023,07612,2,2,65,2
2022-2023,18433,6,6,104,2
2022-2023,09114,56,93,2885,20
2022-2023,19656,3,9,360,3
2022-2023,14250,11,18,551,10
2022-2023,28190,1,2,80,1
2022-2023,31135,1,1,8,1
2022-2023,31500,1,1,35,1
2022-2023,14257,4,8,225,3
2022-2023,02900,12,17,489,10
2022-2023,03334,9,11,388,7
2022-2023,05371,9,12,321,8
2022-2023,09380,5,26,968,4
2022-2023,02837,11,15,444,9
2022-2023,20069,6,6,121,5
2022-2023,09730,2,6,216,2
2022-2023,22785,6,12,430,5
2022-2023,06314,42,71,1990,22
2022-2023,16455,2,9,260,2
2022-2023,20001,10,14,400,6
2022-2023,27570,7,16,558,5
2022-2023,27525,8,20,666,7
2022-2023,07005,12,33,1118,9
2022-2023,15172,46,82,2899,23
2022-2023,21199,11,29,1083,9
2022-2023,03163,21,30,972,11
2022-2023,31075,33,47,902,22
2022-2023,01184,12,12,349,5
2022-2023,29733,5,9,291,5
2022-2023,08320,7,8,250,7
2022-2023,17092,30,39,1188,10
2022-2023,27663,1,1,10,1
2022-2023,09260,2,4,122,2
2022-2023,24290,51,78,2378,23
2022-2023,19515,2,3,90,2
2022-2023,02325,19,23,599,12
2022-2023,31661,5,5,46,3
2022-2023,32045,2,3,113,2
2022-2023,19014,3,13,502,2
2022-2023,30166,48,48,1199,25
2022-2023,19788,5,14,476,4
2022-2023,10524,22,59,2154,17
2022-2023,04375,69,106,1967,4
2022-2023,18032,2,2,30,2
2022-2023,26216,21,58,2330,18
2022-2023,10024,5,12,386,4
2022-2023,02052,3,3,104,3
2022-2023,32533,5,10,251,4
2022-2023,01140,1,4,147,1
2022-2023,26018,43,43,1141,14
2022-2023,08304,30,42,1350,14
2022-2023,10396,3,3,120,3
2022-2023,24721,173,189,2901,13
2022-2023,06436,2,7,102,2
2022-2023,31546,13,16,236,7
2022-2023,27042,14,37,1127,8
2022-2023,23471,1,2,40,1
2022-2023,10689,2,2,17,2
2022-2023,22312,5,13,438,3
2022-2023,11910,1,2,16,1
2022-2023,22004,4,9,197,4
2022-2023,20448,8,18,453,5
2022-2023,03487,3,4,116,3
2022-2023,27452,18,18,36,1
2022-2023,11013,2,8,288,2
2022-2023,03910,4,11,247,4
2022-2023,18244,29,73,2065,15
2022-2023,21473,1,1,17,1
2022-2023,27479,17,17,432,10
2022-2023,16309,4,6,183,3
2022-2023,22490,3,10,301,3
2022-2023,21462,6,17,509,5
2022-2023,13020,55,59,1453,11
2022-2023,31090,4,8,305,3
2022-2023,12286,3,7,257,2
2022-2023,19404,25,51,1602,17
2022-2023,19108,9,23,832,8
2022-2023,04504,1,6,253,1
2022-2023,31444,1,1,10,1
2022-2023,31665,674,802,10703,21
2022-2023,24119,10,42,1520,9
2022-2023,31473,1,1,27,1
2022-2023,26459,4,6,159,4
2022-2023,07020,2,2,66,2
2022-2023,09520,3,4,107,3
2022-2023,32106,32,45,900,21
2022-2023,31905,1446,1795,17604,38
2022-2023,25776,3,3,74,3
2022-2023,07625,2,3,86,2
2022-2023,31062,26,32,734,12
2022-2023,04014,1,1,14,1
2022-2023,08348,4,6,187,4
2022-2023,01500,2,5,166,2
2022-2023,03814,6,11,430,6
2022-2023,31501,6,12,362,6
2022-2023,15699,19,20,721,14
2022-2023,29132,21,49,1310,8
2022-2023,18564,11,28,824,10
2022-2023,04083,28,41,1091,18
2022-2023,11949,140,222,1973,14
2022-2023,31731,5,18,674,5
2022-2023,12150,3,6,205,3
2022-2023,25184,20,29,1065,16
2022-2023,22134,16,33,1154,11
2022-2023,27041,1,1,15,1
2022-2023,26706,10,11,394,7
2022-2023,24006,8,11,299,4
2022-2023,29668,1,1,7,1
2022-2023,20017,3,10,325,2
2022-2023,02850,12,13,423,11
2022-2023,21898,13,24,741,7
2022-2023,31001,6,12,380,5
2022-2023,26918,1,3,100,1
2022-2023,03421,1,1,44,1
2022-2023,10432,13,31,1177,11
2022-2023,10442,3,4,105,3
2022-2023,13300,6,8,192,6
2022-2023,08719,2,6,214,2
2022-2023,08371,11,27,847,9
2022-2023,26470,3,12,356,3
2022-2023,17456,1,2,17,1
2022-2023,12007,2,4,176,2
2022-2023,12595,72,171,4125,7
2022-2023,15230,57,97,3035,24
2022-2023,08619,8,19,437,5
2022-2023,28012,1,1,23,1
2022-2023,31778,10,18,587,9
2022-2023,26094,12,23,733,8
2022-2023,29686,10,12,403,9
2022-2023,21572,22,23,623,19
2022-2023,20506,15,25,814,8
2022-2023,07001,7,7,28,1
2022-2023,28010,14,25,715,5
2022-2023,27016,2,2,65,2
2022-2023,15061,10,56,2335,7
2022-2023,19466,59,77,1296,11
2022-2023,30768,33,53,1685,18
2022-2023,26172,2,3,116,2
2022-2023,27146,20,30,1045,16
2022-2023,21733,3,10,370,3
2022-2023,02728,1,1,20,1
2022-2023,10046,42,54,1362,19
2022-2023,10658,18,18,440,16
2022-2023,09241,1,3,100,1
2022-2023,22775,1,1,21,1
2022-2023,23323,3,11,345,3
2022-2023,12536,17,39,1228,11
2022-2023,21121,20,43,1458,15
2022-2023,06468,9,18,572,6
2022-2023,03329,9,9,217,3
2022-2023,18662,5,7,189,5
2022-2023,04403,7,20,588,5
2022-2023,15058,40,44,1163,9
2022-2023,29283,9,18,579,6
2022-2023,20609,5,10,364,4
2022-2023,08152,3,3,76,3
2022-2023,13133,33,70,2415,19
2022-2023,13265,5,10,268,4
2022-2023,20062,3,11,412,3
2022-2023,26041,11,17,577,7
2022-2023,31066,6,12,465,6
2022-2023,08182,3,3,94,3
2022-2023,17889,4,4,68,4
2022-2023,20535,5,5,99,5
2022-2023,17756,2,4,106,1
2022-2023,16406,9,18,529,5
2022-2023,12568,8,24,844,7
2022-2023,28733,2,8,298,1
2022-2023,05514,5,6,145,5
2022-2023,18006,15,21,812,8
2022-2023,02150,12,12,456,8
2022-2023,13890,34,43,1548,13
2022-2023,31007,51,178,6660,20
2022-2023,17484,7,13,396,7
2022-2023,18617,7,8,315,5
2022-2023,13453,201,201,2765,7
2022-2023,31133,11,22,453,10
2022-2023,31861,49,68,1653,20
2022-2023,30359,9,24,750,6
2022-2023,19007,8,18,615,3
2022-2023,14084,25,61,2095,15
2022-2023,12028,1,1,12,1
2022-2023,17221,30,52,1356,10
2022-2023,05046,8,24,923,7
2022-2023,17466,4,11,419,4
2022-2023,24025,12,23,778,6
2022-2023,15881,155,310,7737,4
2022-2023,22207,2,4,129,1
2022-2023,14125,10,29,1176,8
2022-2023,03166,20,36,1251,11
2022-2023,20112,34,44,1174,8
2022-2023,17572,3,10,345,3
2022-2023,23396,516,723,8171,12
2022-2023,25379,17,38,1206,13
2022-2023,29806,1,2,77,1
2022-2023,02691,11,11,118,6
2022-2023,17790,26,42,1512,19
2022-2023,15130,9,15,538,3
2022-2023,27007,12,21,676,11
2022-2023,14467,4,7,173,4
2022-2023,09499,2,2,66,1
2022-2023,19528,3,5,165,3
2022-2023,07630,5,11,345,4
2022-2023,28054,19,30,962,8
2022-2023,02721,1,1,17,1
2022-2023,25025,4,5,75,4
2022-2023,16460,3,10,286,2
2022-2023,21778,5,5,140,4
2022-2023,06348,23,47,1047,13
2022-2023,31505,17,20,460,16
2022-2023,28720,1,2,85,1
2022-2023,08362,2,7,263,2
2022-2023,19453,6,8,251,6
2022-2023,27737,2,4,120,2
2022-2023,12545,6,18,556,5
2022-2023,21735,4,7,249,3
2022-2023,32376,37,104,3925,20
2022-2023,22611,4,5,98,4
2022-2023,09117,3,6,169,2
2022-2023,09109,30,59,1969,19
2022-2023,15930,10,15,317,4
2022-2023,19662,1,4,133,1
2022-2023,21001,7,7,170,5
2022-2023,06328,2,4,104,2
2022-2023,17191,26,29,905,3
2022-2023,28523,1,1,22,1
2022-2023,11544,2,8,330,2
2022-2023,25802,2,2,43,2
2022-2023,10122,45,53,1248,16
2022-2023,11178,12,19,430,5
2022-2023,02986,2,3,59,2
2022-2023,25714,2,5,192,2
2022-2023,21239,5,8,228,3
2022-2023,24499,6,19,565,2
2022-2023,13009,3,11,451,2
2022-2023,11519,3,8,245,2
2022-2023,03579,14,20,559,12
2022-2023,27804,2,11,477,2
2022-2023,05727,7,30,1120,7
2022-2023,20835,3,9,330,2
2022-2023,19328,9,16,469,3
2022-2023,31039,32,48,1319,18
2022-2023,11433,2,4,110,2
2022-2023,11542,15,22,717,13
2022-2023,12134,11,20,639,4
2022-2023,11153,37,141,5275,12
2022-2023,12067,7,14,371,5
2022-2023,02442,260,264,3250,8
2022-2023,32116,4,7,191,3
2022-2023,05175,6,11,358,5
2022-2023,21699,20,41,1397,9
2022-2023,31018,33,38,1080,10
2022-2023,07364,3,4,141,2
2022-2023,31021,23,30,883,13
2022-2023,31435,14,19,408,8
2022-2023,21281,11,22,819,10
2022-2023,05858,4,10,400,3
2022-2023,32300,5,7,247,5
2022-2023,29360,4,8,228,3
2022-2023,10254,6,6,234,4
2022-2023,22139,48,62,2059,20
2022-2023,07498,5,5,153,3
2022-2023,30885,39,54,2118,35
2022-2023,02601,75,77,1504,3
2022-2023,23155,8,11,352,5
2022-2023,23041,23,33,921,9
2022-2023,12464,26,42,1353,16
2022-2023,22767,3,5,154,2
2022-2023,31052,20,39,1295,9
2022-2023,27013,63,67,1220,8
2022-2023,29663,9,9,91,2
2022-2023,28477,2,6,186,1
2022-2023,05133,14,16,617,5
2022-2023,19290,4,13,375,3
2022-2023,28196,34,45,1565,7
2022-2023,02504,1,3,110,1
2022-2023,09727,2,4,108,2
2022-2023,28042,3,7,267,2
2022-2023,02041,8,8,222,3
2022-2023,21664,10,10,330,2
2022-2023,24013,25,43,1428,12
2022-2023,20442,5,10,350,4
2022-2023,19213,4,5,96,4
2022-2023,15136,4,4,120,2
2022-2023,04072,3,5,184,3
2022-2023,23137,4,6,84,4
2022-2023,28040,21,46,1287,18
2022-2023,27561,2,2,38,2
2022-2023,08302,4,8,264,1
2022-2023,13561,3,8,286,3
2022-2023,27739,1,4,146,1
2022-2023,04108,68,71,2539,4
2022-2023,02717,30,81,2541,6
2022-2023,07684,10,22,763,6
2022-2023,09263,1,1,27,1
2022-2023,15854,7,17,640,4
2022-2023,26067,2,4,173,2
2022-2023,28174,24,42,1220,11
2022-2023,08688,7,14,458,4
2022-2023,27051,2,2,78,2
2022-2023,22277,6,14,420,6
2022-2023,13462,25,26,350,3
2022-2023,23150,2,7,220,2
2022-2023,20751,4,10,377,4
2022-2023,31026,1,3,111,1
2022-2023,26179,9,16,415,6
2022-2023,13067,4,9,227,3
2022-2023,20223,6,8,279,4
2022-2023,05125,22,31,906,10
2022-2023,03755,5,6,183,4
2022-2023,29015,5,10,293,4
2022-2023,31024,29,82,2746,12
2022-2023,21468,167,475,11918,5
2022-2023,02490,7,7,132,3
2022-2023,26133,11,24,789,10
2022-2023,24551,7,13,331,7
2022-2023,24077,8,26,969,6
2022-2023,17397,2,3,52,2
2022-2023,30002,3,10,365,3
2022-2023,09313,2,3,61,2
2022-2023,17181,12,35,1217,7
2022-2023,05032,3,3,85,2
2022-2023,10020,10,38,1393,6
2022-2023,23520,6,11,396,6
2022-2023,09327,15,57,1505,12
2022-2023,02821,2,4,81,2
2022-2023,14559,2,2,66,2
2022-2023,20936,5,14,385,5
2022-2023,28206,14,25,552,7
2022-2023,12314,14,20,556,10
2022-2023,04518,4,8,272,4
2022-2023,32680,3,5,196,3
2022-2023,20004,4,8,287,2
2022-2023,31170,2,8,268,2
2022-2023,19740,14,60,2373,7
2022-2023,07610,1,3,90,1
2022-2023,29238,1,4,144,1
2022-2023,24065,1,5,220,1
2022-2023,03737,3,5,160,3
2022-2023,26203,19,24,809,12
2022-2023,02104,8,15,506,4
2022-2023,11076,8,17,618,5
2022-2023,16021,68,78,2338,9
2022-2023,09581,10,13,357,8
2022-2023,02067,8,8,192,8
2022-2023,18927,1,1,33,1
2022-2023,02650,11,25,651,5
2022-2023,16040,30,75,1807,9
2022-2023,08524,6,9,265,6
2022-2023,10445,1,3,96,1
2022-2023,20519,2,3,70,2
2022-2023,06750,1,2,82,1
2022-2023,25560,9,21,557,7
2022-2023,05440,69,92,1031,2
2022-2023,11012,760,801,15780,17
2022-2023,10391,2,5,104,2
2022-2023,30456,1,1,16,1
2022-2023,03710,7,19,379,3
2022-2023,14016,2,2,57,2
2022-2023,05123,10,11,369,3
2022-2023,24490,4,10,158,4
2022-2023,07519,2,4,132,2
2022-2023,06018,15,16,194,6
2022-2023,28072,7,26,912,6
2022-2023,25511,5,8,301,4
2022-2023,24704,9,26,916,7
2022-2023,27566,4,24,853,4
2022-2023,22787,3,3,80,3
2022-2023,07597,4,5,119,4
2022-2023,26186,43,57,1074,5
2022-2023,05079,11,15,204,3
2022-2023,06353,2,6,216,1
2022-2023,13555,2,3,98,1
2022-2023,07573,3,3,77,3
2022-2023,05518,41,42,1664,6
2022-2023,01134,4,7,224,4
2022-2023,21095,6,19,723,6
2022-2023,27097,15,37,1273,11
2022-2023,25469,4,7,201,4
2022-2023,15010,119,165,5187,27
2022-2023,31699,7,10,138,7
2022-2023,30280,23,56,1960,12
2022-2023,02003,1,1,34,1
2022-2023,30122,87,170,5304,34
2022-2023,23688,6,17,564,3
2022-2023,06701,12,22,677,6
2022-2023,12057,7,9,269,4
2022-2023,30460,143,143,2003,3
2022-2023,27730,10,11,277,10
2022-2023,11019,47,94,3250,7
2022-2023,02347,3,3,89,3
2022-2023,22016,3,3,53,3
2022-2023,28008,12,32,1295,9
2022-2023,08376,13,26,740,12
2022-2023,24211,18,47,1657,5
2022-2023,17531,1,2,45,1
2022-2023,03749,49,52,1437,8
2022-2023,07025,13,23,467,7
2022-2023,10716,19,27,835,15
2022-2023,31057,15,19,545,10
2022-2023,02909,6,8,209,6
2022-2023,22706,4,4,76,1
2022-2023,09015,63,117,3042,9
2022-2023,04007,56,76,2269,18
2022-2023,31733,4,8,260,2
2022-2023,20716,6,11,336,5
2022-2023,17703,26,97,3237,14
2022-2023,17035,56,63,1096,4
2022-2023,15708,9,14,425,8
2022-2023,31738,1,3,120,1
2022-2023,08518,8,11,318,8
2022-2023,06010,8,23,524,7
2022-2023,25032,34,102,3588,11
2022-2023,01110,5,7,204,4
2022-2023,05030,29,30,871,7
2022-2023,03825,6,11,232,6
2022-2023,15154,8,8,236,1
2022-2023,03807,1,2,58,1
2022-2023,25007,17,33,757,14
2022-2023,24343,34,48,1525,12
2022-2023,21720,6,12,498,2
2022-2023,14023,38,50,1385,33
2022-2023,27207,34,73,2586,23
2022-2023,10029,9,22,643,7
2022-2023,28048,16,34,1233,9
2022-2023,13766,2,5,159,2
2022-2023,06592,6,16,568,4
2022-2023,25021,25,43,1211,6
2022-2023,19089,43,68,1818,36
2022-2023,12211,4,7,219,4
2022-2023,22195,6,10,336,5
2022-2023,11751,3,4,115,2
2022-2023,19002,3,4,68,2
2022-2023,18042,2,3,83,2
2022-2023,02822,5,8,272,4
2022-2023,25120,61,85,2653,24
2022-2023,24005,22,65,2398,13
2022-2023,30127,58,125,4190,33
2022-2023,10686,38,58,1414,9
2022-2023,21090,36,69,2278,20
